epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8139,0.22184,2.20474,0.97013,0.6964,0.54206,0.60348,0.58577,0.1929,1.62622,0.26927,0.000330846,0.000330846,0.000330846
2,87.4444,0.16466,1.34274,0.90293,0.57443,0.68214,0.69032,0.67676,0.19712,1.69787,0.23066,0.000659796,0.000659796,0.000659796
3,128.162,0.15974,1.13354,0.89385,0.67763,0.662,0.72443,0.71711,0.20975,1.20844,0.25739,0.000984345,0.000984345,0.000984345
4,168.873,0.14816,1.0143,0.89706,0.64911,0.74059,0.76771,0.76335,0.20774,1.07471,0.23356,0.0009802,0.0009802,0.0009802
5,209.077,0.13603,0.95491,0.89053,0.73986,0.64804,0.75877,0.74944,0.23056,1.08361,0.23681,0.0009736,0.0009736,0.0009736
6,249.355,0.13434,0.88909,0.89217,0.66862,0.7686,0.80799,0.79679,0.14587,0.89125,0.18527,0.000967,0.000967,0.000967
7,289.395,0.12208,0.85311,0.8897,0.72085,0.83971,0.86689,0.85782,0.11719,0.73948,0.16593,0.0009604,0.0009604,0.0009604
8,329.391,0.11818,0.81067,0.88841,0.72553,0.79639,0.85878,0.85818,0.18049,0.76232,0.20218,0.0009538,0.0009538,0.0009538
9,369.516,0.11329,0.78319,0.88426,0.69657,0.69634,0.78812,0.78447,0.10396,0.97543,0.13323,0.0009472,0.0009472,0.0009472
10,409.72,0.11395,0.77937,0.89083,0.82259,0.69391,0.79848,0.76465,0.22025,0.84866,0.2411,0.0009406,0.0009406,0.0009406
11,449.868,0.10758,0.73501,0.88117,0.78668,0.82262,0.84242,0.83429,0.15647,0.64063,0.18812,0.000934,0.000934,0.000934
12,489.828,0.10406,0.71654,0.88404,0.8022,0.77474,0.86465,0.86014,0.13876,0.66472,0.15321,0.0009274,0.0009274,0.0009274
13,529.716,0.10234,0.68553,0.88122,0.73482,0.71958,0.79042,0.76992,0.18684,0.9419,0.22094,0.0009208,0.0009208,0.0009208
14,569.322,0.10028,0.68905,0.88834,0.61619,0.74237,0.77861,0.77811,0.19072,0.78463,0.18384,0.0009142,0.0009142,0.0009142
15,609.048,0.09509,0.65468,0.87551,0.76716,0.74396,0.85802,0.85713,0.10916,0.72437,0.12521,0.0009076,0.0009076,0.0009076
16,649.116,0.096,0.6313,0.87688,0.84595,0.79102,0.88896,0.88708,0.16207,0.58433,0.17258,0.000901,0.000901,0.000901
17,688.979,0.0955,0.60138,0.88152,0.86301,0.8543,0.92382,0.92104,0.11336,0.49933,0.13187,0.0008944,0.0008944,0.0008944
18,729.009,0.09214,0.60333,0.879,0.86451,0.85377,0.92978,0.92968,0.10212,0.48341,0.13151,0.0008878,0.0008878,0.0008878
